session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
v8jw39uu,50,u0d5od3g,2,matcher,FirstWP,1655115269,1,0,1
v8jw39uu,53,5i7f6vwh,2,matcher,FirstWP,1655115269,1,0,1
v8jw39uu,52,t2sm9gb5,2,matcher,FirstWP,1655115269,1,0,1
v8jw39uu,49,alwof86v,1,intro_matcher,Intro,1655115269,1,0,0
v8jw39uu,50,u0d5od3g,3,wsd_app,FirstWP,1655115270,1,0,1
v8jw39uu,52,t2sm9gb5,3,wsd_app,FirstWP,1655115270,1,0,1
v8jw39uu,53,5i7f6vwh,3,wsd_app,FirstWP,1655115270,1,0,1
v8jw39uu,11,tw74rorl,5,wsd_app,Introduction,1655115272,1,0,0
v8jw39uu,41,0wymj3xg,5,wsd_app,Introduction,1655115272,1,0,0
v8jw39uu,40,kmdosfa1,8,wsd_app,DecisionDisagreement,1655115273,1,0,0
v8jw39uu,51,psn8k6zm,1,intro_matcher,Intro,1655115274,1,0,0
v8jw39uu,30,sfccokok,4,wsd_app,GeneralIntro,1655115274,1,0,0
v8jw39uu,15,bclront8,6,wsd_app,Decision,1655115275,1,0,0
v8jw39uu,42,c6hrzzaz,4,wsd_app,GeneralIntro,1655115275,1,0,0
v8jw39uu,47,e6i5hr4i,4,wsd_app,GeneralIntro,1655115276,1,0,0
v8jw39uu,38,n0kgqe99,8,wsd_app,DecisionDisagreement,1655115277,1,0,0
v8jw39uu,46,uxj1cwd9,4,wsd_app,GeneralIntro,1655115278,1,0,0
v8jw39uu,26,uacdg9di,5,wsd_app,Introduction,1655115279,1,0,0
v8jw39uu,44,px7fovuk,4,wsd_app,GeneralIntro,1655115282,1,0,0
v8jw39uu,53,5i7f6vwh,4,wsd_app,GeneralIntro,1655115283,1,0,0
v8jw39uu,52,t2sm9gb5,4,wsd_app,GeneralIntro,1655115284,1,0,0
v8jw39uu,28,tj9eap24,4,wsd_app,GeneralIntro,1655115284,1,0,0
v8jw39uu,36,kzlwe574,5,wsd_app,Introduction,1655115287,1,0,0
v8jw39uu,31,f8d4gvps,6,wsd_app,Decision,1655115288,1,0,0
v8jw39uu,50,u0d5od3g,4,wsd_app,GeneralIntro,1655115288,1,0,0
v8jw39uu,34,4g0beedo,5,wsd_app,Introduction,1655115288,1,0,0
v8jw39uu,53,5i7f6vwh,5,wsd_app,Introduction,1655115292,1,0,0
v8jw39uu,4,dh34bcev,6,wsd_app,Decision,1655115293,1,0,0
v8jw39uu,35,17ajo6f1,6,wsd_app,Decision,1655115294,1,0,0
v8jw39uu,32,7yty41jr,6,wsd_app,Decision,1655115295,1,0,0
